Algoritme,Mapa,Trobat,Longitud,NodesExplorats,NodesTallats,MemoriaPic,TempsMs
BFS,mapA,YES,5,483,329,468,12
DFS,mapA,YES,22,34,11,90,0
IDS,mapA,YES,5,874,514,143,3
A* Basica,mapA,YES,5,82,38,199,9
A* Avancada,mapA,YES,5,16,3,63,1
BFS,mapB,YES,31,454,271,190,1
DFS,mapB,YES,41,166,77,130,1
IDS,mapB,YES,31,15828,9248,214,26
A* Basica,mapB,YES,31,361,210,171,3
A* Avancada,mapB,YES,31,245,125,190,3
BFS,mapC,YES,37,62762,49649,15930,84
DFS,mapC,YES,50,375987,294320,13091,337
IDS,mapC,YES,37,3645843,2832596,13066,2953
A* Basica,mapC,YES,37,54783,43343,14325,132
A* Avancada,mapC,YES,37,31368,24432,10477,96
BFS,mapD,YES,79,808820,695002,122294,1731
DFS,mapD,NO),-,5096961,4350913,82506,8945
IDS,mapD,NO),-,61817334,52526719,82506,106158
A* Basica,mapD,YES,79,761181,654192,115328,3177
A* Avancada,mapD,YES,79,117659,96458,53426,559
